LOCATION,Country,MEASURE,Measure,AGE,Age group,DEFINITION,Definition,METHODO,Methodology,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags,year
AUS,Australia,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,59790.0,,,2019
AUS,Australia,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,72155.0,,,2019
AUS,Australia,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,72302.0,,,2019
AUS,Australia,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,71160.0,,,2019
AUS,Australia,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,72587.0,,,2019
AUS,Australia,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,52957.0,,,2019
AUS,Australia,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,AUD,Australian Dollar,0,Units,,,45290.0,,,2019
AUT,Austria,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,28488.0,,,2019
AUT,Austria,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,34362.0,,,2019
AUT,Austria,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,30411.0,,,2019
AUT,Austria,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,34964.0,,,2019
AUT,Austria,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,36550.0,,,2019
AUT,Austria,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,31367.0,,,2019
AUT,Austria,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,29441.0,,,2019
BEL,Belgium,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,29427.0,,,2019
BEL,Belgium,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,32928.0,,,2019
BEL,Belgium,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,32298.0,,,2019
BEL,Belgium,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,32728.0,,,2019
BEL,Belgium,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,35007.0,,,2019
BEL,Belgium,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,25150.0,,,2019
BEL,Belgium,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,EUR,Euro,0,Units,,,21253.0,,,2019
CAN,Canada,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,53149.0,,,2019
CAN,Canada,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,59946.0,,,2019
CAN,Canada,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,57879.0,,,2019
CAN,Canada,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,59927.0,,,2019
CAN,Canada,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,61564.0,,,2019
CAN,Canada,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,52386.0,,,2019
CAN,Canada,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2020,2020,CAD,Canadian Dollar,0,Units,,,48587.0,,,2019
CZE,Czech Republic,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,329999.0,,,2019
CZE,Czech Republic,INCAC2,Age group 18-25: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,376482.0,,,2019
CZE,Czech Republic,INCAC3,Age group 26-40: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,374655.0,,,2019
CZE,Czech Republic,INCAC4,Age group 41-50: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,379626.0,,,2019
CZE,Czech Republic,INCAC5,Age group 51-65: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,371551.0,,,2019
CZE,Czech Republic,INCAC6,Age group 66-75: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,264621.0,,,2019
CZE,Czech Republic,INCAC7,Age group 76+: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,CZK,Czech Koruna,0,Units,,,238094.0,,,2019
DNK,Denmark,INCAC1,Age group 0-17: mean disposable income (current prices),TOT,Total population,CURRENT,Current definition,METH2012,New income definition since 2012,2019,2019,DKK,Danish Krone,0,Units,,,286994.0,,,2019
