entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Argentina,ARG,2000,1862.1362,20.869158,37.070772,South America,704.94592285,6430.93331567539,3.4535246754106335,0.10961798050862934,
Argentina,ARG,2001,1811.1526,20.300793,37.480492,South America,671.36853027,6002.28904723084,3.314071408025387,0.11185208259501203,
Argentina,ARG,2002,1710.0365,18.544622,37.885024,South America,222.64750671,1995.25886604374,1.166793145084178,0.11158828084872628,
Argentina,ARG,2003,1713.5746,19.140049,38.278164,South America,260.9826355,2702.54351033396,1.577137937463569,0.09656926317820864,
Argentina,ARG,2004,1743.3999,19.305756,38.668796,South America,310.21994019,3206.86287911915,1.8394304594827326,0.09673626590333358,
Argentina,ARG,2005,1771.6785,19.672619,39.070504,South America,390.80447388,3812.03821922772,2.1516534852275515,0.1025185088409667,
Argentina,ARG,2006,1775.9203,20.713331,39.476856,South America,453.63934326,4894.93174744607,2.756278954323609,0.09267531533952159,
Argentina,ARG,2007,1787.5447,21.948978,39.876116,South America,569.28839111,6111.11465575818,3.4187199099178778,0.0931562281479353,
Argentina,ARG,2008,1789.765,23.103422,40.273768,South America,742.90466309,7573.70820060484,4.231677455199336,0.09808995057806309,
Argentina,ARG,2009,1751.6228,22.24469,40.684344,South America,781.77801514,6837.52985820003,3.903540110462155,0.11433632193977752,
Argentina,ARG,2010,1760.2247,24.664722,41.100124,South America,980.1362915,8670.41434604769,4.925742915690076,0.11304376612021823,
Argentina,ARG,2011,1760.2303,27.121876,41.520736,South America,1202.56396484,10725.1625445474,6.0930450660617534,0.1121254768722713,
Argentina,ARG,2012,1736.1034,27.660812,41.952364,South America,1361.99157715,10884.7039970048,6.269617349407184,0.12512894953549367,
Argentina,ARG,2013,1725.8735,27.395718,42.388268,South America,1415.21008301,10909.0982030467,6.320914135970394,0.12972750420513762,
Argentina,ARG,2014,1705.4283,26.616257,42.824064,South America,1280.61486816,10265.6706575334,6.019409117072468,0.1247473166519548,
Argentina,ARG,2015,1703.4685,26.997778,43.257064,South America,1525.05310059,11761.7812304783,6.904607411571333,0.12966174686518828,
Argentina,ARG,2016,1646.5126,27.98419,43.668236,South America,1149.31335449,10865.7898884491,6.599275273356001,0.10577356697388192,
Argentina,ARG,2017,1648.8129,30.95546,44.054616,South America,1525.59106445,12578.1461370703,7.628607307154318,0.12128902366253955,
