entity,code,health_share,food_share
Argentina,ARG,0.1162682573288542,0.23198097
Australia,AUS,0.1318879221513351,0.09974969
Austria,AUT,0.129248866108663,0.11312785
Bangladesh,BGD,0.0218779874868043,0.52749126
Belgium,BEL,0.1299854168015901,0.13478635
Brazil,BRA,0.1273261693820779,0.1625252499999999
Bulgaria,BGR,0.085467516413462,0.19334064
Cambodia,KHM,0.0815231185922884,0.42712593
Canada,CAN,0.1344791468300532,0.0998567899999999
Chile,CHL,0.1185036580014676,0.1850467099999999
China,CHN,0.0722371116657711,0.1995258899999999
Colombia,COL,0.0974629571166203,0.1859748
Costa Rica,CRI,0.0809565481835396,0.31579697
Croatia,HRV,0.0816393249435398,0.19568707
Czechia,CZE,0.1031987355981533,0.16136227
Denmark,DNK,0.1188760842332945,0.1232065099999999
Dominican Republic,DOM,0.0476082468671622,0.26796751
Ecuador,ECU,0.1054426907230033,0.26310055
Estonia,EST,0.0838722581914256,0.2017673999999999
Finland,FIN,0.1124603192578853,0.1197864
France,FRA,0.1330069620391584,0.1406504
Germany,DEU,0.1379249261571245,0.1197683299999999
Greece,GRC,0.0971227491774923,0.17637985
Hungary,HUN,0.0771847848701663,0.17968746
India,IND,0.0338442347867843,0.32083492
Indonesia,IDN,0.0387246942192451,0.33853706
Ireland,IRL,0.1284010231895877,0.0924157199999999
Israel,ISR,0.0915725215670001,0.15958162
Italy,ITA,0.1039095617707853,0.1550135799999999
Japan,JPN,0.1356339363425622,0.16690418
Latvia,LVA,0.0854985906839704,0.1930457099999999
Lithuania,LTU,0.0832455200046421,0.2098476
Malaysia,MYS,0.05349192749205,0.27486546
Mexico,MEX,0.069880886293289,0.2622351
Myanmar,MMR,0.0535804740455305,0.56626648
Netherlands,NLD,0.1250533968774789,0.12136645
New Zealand,NZL,0.1152315493606184,0.1219959
Norway,NOR,0.1320277731631501,0.1248295899999999
Pakistan,PAK,0.0278494494131326,0.3957528
Peru,PER,0.0614590880281604,0.26604895
Philippines,PHL,0.0417830163952678,0.3856460599999999
Poland,POL,0.0765817201857149,0.17177938
Portugal,PRT,0.1195264472726602,0.1746995499999999
Romania,ROU,0.0701533506968831,0.25202482
Russia,RUS,0.074942795202495,0.2903056
Singapore,SGP,0.0611473178976275,0.0836341999999999
Slovakia,SVK,0.0857374562542405,0.19639393
Slovenia,SVN,0.1066897861747634,0.14870162
South Africa,ZAF,0.1010231796974269,0.21292362
South Korea,KOR,0.1004675645871687,0.1281972599999999
Spain,ESP,0.1079568129292145,0.13111291
Sri Lanka,LKA,0.0386865438598888,0.27715063
Sweden,SWE,0.1268677712132303,0.1265485499999999
Switzerland,CHE,0.1544533863393221,0.0992448699999999
Thailand,THA,0.0495131400755896,0.28338812
Turkey,TUR,0.0527127075202099,0.27256779
United States,USA,0.1916747735222455,0.06689246
Uruguay,URY,0.1063545088929986,0.18820482
Vietnam,VNM,0.0613743919146774,0.31196798
