entity,year,awhpw,pophw,population,continent
Argentina,1950,2034.0,3.7276742,17.017748,South America
Argentina,1951,2037.8667,3.7526677,17.354614,South America
Argentina,1952,2041.7408,3.3652332,17.693856,South America
Argentina,1953,2045.6223,3.522695,18.032748,South America
Argentina,1954,2049.5112,3.6234164,18.369248,South America
Argentina,1955,2053.4075,3.820403,18.700684,South America
Argentina,1956,2057.311,3.8615587,19.0312,South America
Argentina,1957,2061.2222,4.0018334,19.363792,South America
Argentina,1958,2065.1406,4.240541,19.695358,South America
Argentina,1959,2069.0667,3.93428,20.024528,South America
Argentina,1960,2073.0,4.165085,20.349748,South America
Argentina,1961,2066.2004,4.2599936,20.680658,South America
Argentina,1962,2059.4233,4.298306,21.020364,South America
Argentina,1963,2052.6685,4.1109223,21.364018,South America
Argentina,1964,2045.9355,4.2761,21.708488,South America
Argentina,1965,2039.2249,4.7605305,22.053662,South America
Argentina,1966,2032.5361,4.821608,22.40312,South America
Argentina,1967,2025.8694,4.940946,22.757014,South America
Argentina,1968,2019.2245,5.0403686,23.112976,South America
Argentina,1969,2012.6014,5.4847455,23.47203,South America
Argentina,1970,2006.0,5.5949955,23.842804,South America
Argentina,1971,2002.6611,5.7174125,24.22338,South America
Argentina,1972,1999.3278,5.7707987,24.612798,South America
Argentina,1973,1996.0,6.049992,25.020592,South America
Argentina,1974,1992.8422,6.12354,25.449752,South America
Argentina,1975,1989.6893,6.015602,25.875562,South America
Argentina,1976,1986.5415,6.0292716,26.290258,South America
Argentina,1977,1983.3987,6.2771564,26.71378,South America
Argentina,1978,1980.2609,6.141138,27.146124,South America
Argentina,1979,1977.1279,6.4327383,27.584138,South America
Argentina,1980,1974.0,6.4590163,28.024808,South America
Argentina,1981,1961.2301,6.54121,28.471284,South America
Argentina,1982,1948.5427,6.8030505,28.922768,South America
Argentina,1983,1935.9375,7.2011805,29.377144,South America
Argentina,1984,1923.4137,7.5501113,29.8322,South America
Argentina,1985,1910.9711,7.3695316,30.28712,South America
Argentina,1986,1898.6089,8.01871,30.748332,South America
Argentina,1987,1886.3267,8.416937,31.21645,South America
Argentina,1988,1874.1238,8.84262,31.69079,South America
Argentina,1989,1862.0,8.496987,32.16577,South America
Argentina,1990,1850.0,9.34559,32.637658,South America
Argentina,1991,1837.9608,10.72936,33.105766,South America
Argentina,1992,1826.0,12.5184765,33.56828,South America
Argentina,1993,1850.3378,14.229115,34.02724,South America
Argentina,1994,1875.0,16.264364,34.488696,South America
Argentina,1995,1881.9612,19.057482,34.946116,South America
Argentina,1996,1888.9481,23.936634,35.38936,South America
Argentina,1997,1895.961,23.406992,35.815968,South America
Argentina,1998,1903.0,22.246105,36.233196,South America
Argentina,1999,1887.285,20.943682,36.653032,South America
Argentina,2000,1862.1362,20.869158,37.070772,South America
Argentina,2001,1811.1526,20.300793,37.480492,South America
Argentina,2002,1710.0365,18.544622,37.885024,South America
Argentina,2003,1713.5746,19.140049,38.278164,South America
Argentina,2004,1743.3999,19.305756,38.668796,South America
Argentina,2005,1771.6785,19.672619,39.070504,South America
Argentina,2006,1775.9203,20.713331,39.476856,South America
Argentina,2007,1787.5447,21.948978,39.876116,South America
Argentina,2008,1789.765,23.103422,40.273768,South America
Argentina,2009,1751.6228,22.24469,40.684344,South America
Argentina,2010,1760.2247,24.664722,41.100124,South America
Argentina,2011,1760.2303,27.121876,41.520736,South America
Argentina,2012,1736.1034,27.660812,41.952364,South America
Argentina,2013,1725.8735,27.395718,42.388268,South America
Argentina,2014,1705.4283,26.616257,42.824064,South America
Argentina,2015,1703.4685,26.997778,43.257064,South America
Argentina,2016,1646.5126,27.98419,43.668236,South America
